filtered_rssi,est_dist
-63.64902157436277,1.49
-63.68170347884835,2.08
-63.713714686676035,2.08
-63.70392445391527,1.7
-63.6943306841094,1.7
-63.712013421514946,1.94
-63.70243013604091,1.7
-63.69303301250332,1.7
-63.7237128533689,2.08
-63.714144194147,1.7
-63.67846272091541,1.49
-63.64344633188688,1.49
-63.68708836312107,2.22
-63.65233734406673,1.49
-63.6310801411056,1.59
-63.62300295193662,1.7
-63.60233445392494,1.59
-63.582029538160235,1.59
-63.62513361297152,2.22
-63.6172872656314,1.7
-63.62206865365931,1.82
-63.614332115961666,1.7
-63.581962591149285,1.49
-63.58711602954619,1.82
-63.57990909518197,1.7
-63.53614874194128,1.39
-63.517447907028355,1.59
-63.54754890876895,2.08
-63.60132283914184,2.37
-63.61815014576495,1.94
-63.586770364230205,1.49
-63.55588131626328,1.49
-63.561165395504254,1.82
-63.554512411598324,1.7
-63.53614676921159,1.59
-63.518059984636295,1.59
-63.5002458770765,1.59
-63.5294839039497,2.08
-63.52331074147776,1.7
-63.540473069563056,1.94
-63.557383658179475,1.94
-63.58559918905505,2.08
-63.613406242492324,2.08
-63.64081330450016,2.08
-63.644926390793096,1.82
-63.68323866518941,2.22
-63.75517409693412,2.71
-63.74659717047767,1.7
-63.71548437644519,1.49
-63.741296300618224,2.08
-63.74421193717415,1.82
-63.70211819695046,1.39
-63.727889271556506,2.08
-63.75331088175833,2.08
-63.76722709260937,1.94
-63.758682405503336,1.7
-63.750251749367436,1.7
-63.71975719628384,1.49
-63.72285783876891,1.82
-63.68175425987707,1.39
-63.6852607282964,1.82
-63.68872155806167,1.82
-63.681163461925884,1.7
-63.684655615745505,1.82
-63.655307029997786,1.49
-63.648156583336196,1.7
-63.619313754104766,1.49
-63.6343247957965,1.94
-63.60573426270607,1.49
-63.631674714827234,2.08
-63.62484243266416,1.7
-63.59649868940717,1.49
-63.63319106422109,2.22
-63.63713926943741,1.82
-63.63029199401108,1.7
-63.612798125388935,1.59
-63.61694678799019,1.82
-63.58894868193125,1.49
-63.60402350793889,1.94
-63.62958464547127,2.08
-63.62287727927364,1.7
-63.62688957331805,1.82
-63.63085391671831,1.82
-63.65599366806708,2.08
-63.69143276826811,2.22
-63.70528338377334,1.94
-63.67668417651018,1.49
-63.69065697769339,1.94
-63.70446598605304,1.94
-63.70757924853591,1.82
-63.67908884613339,1.49
-63.67195107076125,1.7
-63.654396579248996,1.59
-63.66850958547005,1.94
-63.65102811021874,1.59
-63.68608043121969,2.22
-63.67890670138168,1.7
-63.692706629016406,1.94
-63.66460612238904,1.49
-63.68895479706768,2.08
-63.702611034494346,1.94
-63.705705918730494,1.82
-63.667175433340134,1.39
-63.69141010995031,2.08
-63.70499286368816,1.94
-63.718423385734425,1.94
-63.73170371906506,1.94
-63.75519003572365,2.08
-63.77841485602171,2.08
-63.7703675905402,1.7
-63.74174916799261,1.49
-63.77538253958027,2.22
-63.7776994721112,1.82
-63.76968320973969,1.7
-63.75145466367411,1.59
-63.75401304050504,1.82
-63.74625689331145,1.7
-63.76942473974109,2.08
-63.78206654706464,1.94
-63.76377079824511,1.59
-63.75593433597203,1.7
-63.778944971719206,2.08
-63.77096243136749,1.7
-63.75282440184604,1.59
-63.73488241222287,1.59
-63.76828555842927,2.22
-63.76043008432726,1.7
-63.762878290139184,1.82
-63.734658878942376,1.49
-63.75778457941356,2.08
-63.75005267281347,1.7
-63.7526016928367,1.82
-63.71435046204462,1.39
-63.7274491540383,1.94
-63.68949025915883,1.39
-63.713008788775184,2.08
-63.71592873894402,1.82
-63.71881770536873,1.82
-63.72167605476099,1.82
-63.694020673906785,1.49
-63.71744235887296,2.08
-63.72031110998251,1.82
-63.70285210854263,1.59
-63.68557705650247,1.59
-63.70904735164795,2.08
-63.68158554451494,1.49
-63.68481214517107,1.82
-63.68800489589337,1.82
-63.67091200809537,1.59
-63.66412065121336,1.7
-63.64728119622405,1.59
-63.68119648435278,2.22
-63.64397056715353,1.39
-63.62735132234107,1.59
-63.60079921522064,1.49
-63.6250381613102,2.08
-63.64902498357063,2.08
-63.672762519435956,2.08
-63.67606564241055,1.82
-63.64906121081864,1.49
-63.62233672910155,1.49
-63.585803544373555,1.39
-63.610145478621455,2.08
-63.664476214268895,2.54
-63.708167863349615,2.37
-63.72118314230188,1.94
-63.72399154334184,1.82
-63.69656060418106,1.49
-63.719751024491146,2.08
-63.742702628804295,2.08
-63.70503944314972,1.39
-63.72812869526897,2.08
-63.75098064185109,2.08
-63.75348490118823,1.82
-63.745909087042236,1.7
-63.72835869755509,1.59
-63.761239542294234,2.22
-63.72344560244566,1.39
-63.7262239548988,1.82
-63.77919587546944,2.54
-63.811540882836006,2.22
-63.82347382945477,1.94
-63.80516818300051,1.59
-63.76697524923432,1.39
-63.78938452594662,2.08
-63.801531473188184,1.94
-63.7934904821243,1.7
-63.81562266772214,2.08
-63.83752937244716,2.08
-63.84918575105204,1.94
-63.830646345713866,1.59
-63.812295561269146,1.59
-63.83422235023849,2.08
-63.835883657021874,1.82
-63.79744855874967,1.39
-63.78945932423141,1.7
-63.7815512021826,1.7
-63.77372333733349,1.7
-63.8060328874977,2.22
-63.848028011426806,2.37
-63.859561519008885,1.94
-63.83093519074907,1.49
-63.84263698780908,1.94
-63.844211932982965,1.82
-63.84577093539764,1.82
-63.847314161770804,1.82
-63.81882690782419,1.49
-63.85065094262781,2.22
-63.892156054461566,2.37
-63.90323643818865,1.94
-63.884202684292106,1.59
-63.895360351219985,1.94
-63.92640283900111,2.22
-63.92713864693543,1.82
-63.907873368905314,1.59
-63.92878606453969,2.08
-63.92949784745886,1.82
-63.91021424447186,1.59
-63.911111494330804,1.82
-63.882022572720665,1.49
-63.9331590385431,2.54
-63.94381754390782,1.94
-63.93438889071388,1.7
-63.9450334096404,1.94
-63.91561739130191,1.49
-63.956410528743184,2.37
-63.966832696533274,1.94
-63.94719167314773,1.59
-63.947718985627624,1.82
-63.93825629183842,1.7
-63.89893666862283,1.39
-63.91991231111627,2.08
-63.92071180146668,1.82
-63.90153917666168,1.59
-63.902521954357766,1.82
-63.90349486207272,1.82
-63.89447782072939,1.7
-63.865592136219,1.49
-63.876912392087675,1.94
-63.908075894590105,2.22
-63.90899310100125,1.82
-63.88994647358652,1.59
-63.891044453063195,1.82
-63.852226426910285,1.39
-63.85370057625054,1.82
-63.85515994560432,1.82
-63.846629960090375,1.7
-63.84815970930311,1.82
-63.85964788738828,1.94
-63.861047659850136,1.82
-63.86243340816191,1.82
-63.83388812978752,1.49
-63.855488468372286,2.08
-63.83698645023218,1.59
-63.84858295622093,1.94
-63.87003402284358,2.08
-63.851389294585566,1.59
-63.862840785267174,1.94
-63.844269247718174,1.59
-63.815914477995314,1.49
-63.827718285450025,1.94
-63.859340679380786,2.22
-63.86074276902245,1.82
-63.88206609048841,2.08
-63.83340516264609,1.3
-63.80516477869574,1.49
-63.82703984183375,2.08
-63.83872989323709,1.94
-63.860269028043604,2.08
-63.83176459448626,1.49
-63.833441117524195,1.82
-63.815170805967206,1.59
-63.79708309519759,1.59
-63.779176144369444,1.59
-63.76144813166307,1.59
-63.743897254074625,1.59
-63.746448964120574,1.82
-63.71908512883442,1.49
-63.741810086764026,2.08
-63.74438238953558,1.82
-63.72700383975261,1.59
-63.769572852994465,2.37
-63.78183048108143,1.94
-63.8138894179716,2.22
-63.83566662573282,2.08
-63.84726500973096,1.94
-63.828864086780776,1.59
-63.83056876345248,1.82
-63.83225642357676,1.82
-63.794085127871966,1.39
-63.816056749125906,2.08
-63.81788884587898,1.82
-63.77986297281951,1.39
-63.80197493237357,2.08
-63.8437853190289,2.37
-63.86525981722232,2.08
-63.86660171733054,1.82
-63.867930229333155,1.82
-63.83936904789056,1.49
-63.860885996082914,2.08
-63.86227135905082,1.82
-63.86364290314553,1.82
-63.83512633200232,1.49
-63.84672612778762,1.94
-63.82833674226177,1.59
-63.830046109662014,1.82
-63.84169595843627,1.94
-63.82335748919699,1.59
-63.83507359842072,1.94
-63.82675868971851,1.7
-63.82848364630023,1.82
-63.84014822773968,1.94
-63.84173982239648,1.82
-63.81344586746127,1.49
-63.83521614759907,2.08
-63.836856786426836,1.82
-63.83848107056808,1.82
-63.820177032200284,1.59
-63.81201139227233,1.7
-63.843750473556796,2.22
-63.81543889104158,1.49
-63.78740948268889,1.49
-63.80943692811071,2.08
-63.81133405853008,1.82
-63.78334641432569,1.49
-63.75563767992192,1.49
-63.797890675522595,2.37
-63.77003770576025,1.49
-63.79223674015643,2.08
-63.76444058786991,1.49
-63.736921396507555,1.49
-63.75944947177116,2.08
-63.75188951251555,1.7
-63.78422262861887,2.22
-63.786370552758896,1.82
-63.74868000047411,1.39
-63.75118168681043,1.82
-63.77356666447756,2.08
-63.73600447645957,1.39
-63.74858622551484,1.94
-63.76104264164548,1.94
-63.743513574322805,1.59
-63.71620538694354,1.49
-63.75884480688204,2.37
-63.78115233901044,2.08
-63.773377125166895,1.7
-63.805493157116686,2.22
-63.83728931331656,2.22
-63.8190021842094,1.59
-63.850663473196605,2.22
-63.85214984877414,1.82
-63.82376201846239,1.49
-63.84542227753257,2.08
-63.86686682456767,2.08
-63.88809781153914,2.08
-63.88921156314909,1.82
-63.880361375769525,1.7
-63.86164652651918,1.59
-63.872976263870754,1.94
-63.844382423899496,1.49
-63.85588386783976,1.94
-63.8573181964268,1.82
-63.858738242769924,1.82
-63.84023916513617,1.59
-63.85178162129043,1.94
-63.863209149023895,1.94
-63.85461818581204,1.7
-63.89587431097687,2.37
-63.86705379722567,1.49
-63.888281356429424,2.08
-63.90929756640692,2.08
-63.90024810785522,1.7
-63.90124084887165,1.82
-63.87236751728633,1.49
-63.853733669730175,1.59
-63.875093284268424,2.08
-63.88628829975992,1.94
-63.9272276046086,2.37
-63.94785558369072,2.08
-63.91851898538627,1.49
-63.93923348846195,2.08
-63.95974177599018,2.08
-63.96014241551711,1.82
-63.94063564342569,1.59
-63.94122641851876,1.82
-63.981617910284434,2.37
-64.00170408031032,2.08
-63.97183235306952,1.49
-63.95220954383525,1.59
-63.97258819652098,2.08
-64.00271549823574,2.22
-64.02259142907712,2.08
-64.00246371108207,1.59
-63.97258492161021,1.49
-63.972857739974394,1.82
-63.97312784273,1.82
-63.98334660528794,1.94
-63.963609680348156,1.59
-63.98387441212722,2.08
-63.95418105098182,1.49
-63.97453951559199,2.08
-63.97479287877753,1.82
-64.0148485601976,2.37
-64.01470079937569,1.82
-64.00460334178959,1.7
-63.98465523960693,1.59
-64.00471019044382,2.08
-64.01461442559395,1.94
-64.01446899616877,1.82
-64.00437394593911,1.7
-64.04413461891619,2.37
-64.0735485277644,2.22
-64.082767658712,1.94
-64.05209105088251,1.49
-64.07147465094424,2.08
-64.03095956306406,1.39
-64.03065148615394,1.82
-64.03034647539795,1.82
-64.05989723888206,2.22
-64.04935031034036,1.7
-64.00905570331349,1.39
-63.979112990248574,1.49
-63.98927168609325,1.94
-63.97942760391196,1.7
-63.9796323162001,1.82
-63.97983499115051,1.82
-63.9501832599169,1.49
-63.96062975857365,1.94
-63.96102152279294,1.82
-63.93155711632528,1.49
-63.952139663506216,2.08
-63.95261590891131,1.82
-63.972988855667424,2.08
-63.983208344360065,1.94
-63.99332613014632,1.94
-63.99339253972816,1.82
-64.01335963776347,2.08
-63.973424045342426,1.39
-63.93388588096724,1.39
-63.954445044265896,2.08
-63.94494771247298,1.7
-63.91564364990352,1.49
-63.896581822225315,1.59
-63.877709689717136,1.59
-63.85902536407253,1.59
-63.8305763916737,1.49
-63.852163404066474,2.08
-63.81383219740363,1.39
-63.79578355603387,1.59
-63.77791452408129,1.59
-63.79007493502087,1.94
-63.77226273672911,1.59
-63.79442989015035,2.08
-63.81637645134416,2.08
-63.81820359902432,1.82
-63.82001256427545,1.82
-63.80190254116765,1.59
-63.82377467950663,2.08
-63.82552820585868,1.82
-63.82726428256055,1.82
-63.81903261816705,1.7
-63.80093240978841,1.59
-63.84271502940422,2.37
-63.87413142085812,2.22
-63.87538386847379,1.82
-63.8467725546366,1.49
-63.81844595310239,1.49
-63.8401533336284,2.08
-63.84174387426887,1.82
-63.843318587461894,1.82
-63.86477843767451,2.08
-63.886024741945135,2.08
-63.926960410710436,2.37
-63.937637570162394,1.94
-63.92830771810486,1.7
-63.95887221424694,2.22
-63.93938070705185,1.59
-63.95988462545032,2.08
-63.960283787960755,1.82
-63.93082790567948,1.49
-63.95141689841924,2.08
-63.95190031721008,1.82
-63.922527893445896,1.49
-63.94319944665388,2.08
-63.95371496667716,1.94
-63.96412584938826,1.94
-63.98438346334635,2.08
-63.98453885293342,1.82
-63.98469269628319,1.82
-63.94504374704517,1.39
-63.955540890553664,1.94
-63.955983272384614,1.82
-63.926570339187236,1.49
-63.89745008401994,1.49
-63.91837108079769,2.08
-63.939083900334836,2.08
-63.9595906143374,2.08
-63.93014183750113,1.49
-63.91093637793399,1.59
-63.89192202416402,1.59
-63.90294770787763,1.94
-63.91386367965515,1.94
-63.91472075945741,1.82
-63.88571850405362,1.49
-63.906756167500085,2.08
-63.8977337048995,1.7
