x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:20,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:20,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:20,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:20,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:20,5
c2:02:0b:00:05:5a,40001,30550,-75,-59,3.78,2021.11.16 14:20,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-75,-59,3.78,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-75,-59,3.78,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-74,-59,3.53,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-73,-59,3.31,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-72,-59,3.09,2021.11.16 14:21,5
c2:02:0b:00:05:5a,40001,30550,-71,-59,2.9,2021.11.16 14:21,5
