beaconcount,second
1.1,0.0
5.2,0.1
4.985714286,0.2
4.985714286,0.30000000000000004
5.228571429,0.4
5.342857143,0.5
5.028571429,0.6000000000000001
5.114285714,0.7000000000000001
5.242857143,0.8
5.428571429,0.9
5.228571429,1.0
5.371428571,1.1
5.228571429,1.2000000000000002
4.9,1.3
4.985714286,1.4000000000000001
5.385714286,1.5
5.042857143,1.6
5.114285714,1.7000000000000002
5.157142857,1.8
5.228571429,1.9000000000000001
5.114285714,2.0
4.885714286,2.1
5.071428571,2.2
5.142857143,2.3000000000000003
5.228571429,2.4000000000000004
5.314285714,2.5
5.128571429,2.6
5.242857143,2.7
5.057142857,2.8000000000000003
4.985714286,2.9000000000000004
4.857142857,3.0
4.857142857,3.1
4.928571429,3.2
4.914285714,3.3000000000000003
5.1,3.4000000000000004
4.7,3.5
4.771428571,3.6
4.471428571,3.7
4.614285714,3.8000000000000003
4.485714286,3.9000000000000004
4.714285714,4.0
5.014285714,4.1000000000000005
4.871428571,4.2
5.0,4.3
4.942857143,4.4
4.928571429,4.5
4.857142857,4.6000000000000005
4.857142857,4.7
4.842857143,4.800000000000001
4.957142857,4.9
4.685714286,5.0
4.314285714,5.1000000000000005
5.014285714,5.2
4.928571429,5.300000000000001
5.385714286,5.4
5.057142857,5.5
5.0,5.6000000000000005
4.7,5.7
4.771428571,5.800000000000001
5.028571429,5.9
4.657142857,6.0
4.385714286,6.1000000000000005
4.4,6.2
5.057142857,6.300000000000001
4.7,6.4
5.442857143,6.5
5.328571429,6.6000000000000005
4.928571429,6.7
4.857142857,6.800000000000001
4.857142857,6.9
4.914285714,7.0
5.042857143,7.1000000000000005
5.242857143,7.2
5.042857143,7.300000000000001
4.971428571,7.4
4.828571429,7.5
4.5,7.6000000000000005
4.671428571,7.7
4.842857143,7.800000000000001
5.1,7.9
4.671428571,8.0
4.671428571,8.1
4.614285714,8.200000000000001
5.085714286,8.3
4.928571429,8.4
4.571428571,8.5
4.9,8.6
5.128571429,8.700000000000001
4.8,8.8
4.957142857,8.9
4.8,9.0
5.157142857,9.1
4.757142857,9.200000000000001
4.5,9.3
4.857142857,9.4
4.3,9.5
4.485714286,9.600000000000001
4.485714286,9.700000000000001
4.385714286,9.8
4.285714286,9.9
4.285714286,10.0
3.785714286,10.100000000000001
4.428571429,10.200000000000001
4.1,10.3
4.685714286,10.4
5.0,10.5
5.014285714,10.600000000000001
4.785714286,10.700000000000001
5.328571429,10.8
4.628571429,10.9
4.571428571,11.0
4.371428571,11.100000000000001
4.357142857,11.200000000000001
4.3,11.3
4.842857143,11.4
5.028571429,11.5
4.814285714,11.600000000000001
5.071428571,11.700000000000001
5.1,11.8
4.5,11.9
4.485714286,12.0
4.971428571,12.100000000000001
4.714285714,12.200000000000001
4.528571429,12.3
5.057142857,12.4
4.914285714,12.5
4.6,12.600000000000001
4.914285714,12.700000000000001
5.042857143,12.8
4.614285714,12.9
4.257142857,13.0
4.614285714,13.100000000000001
3.928571429,13.200000000000001
4.257142857,13.3
4.585714286,13.4
4.814285714,13.5
4.728571429,13.600000000000001
4.728571429,13.700000000000001
4.6,13.8
4.571428571,13.9
5.042857143,14.0
4.442857143,14.100000000000001
5.0,14.200000000000001
4.471428571,14.3
4.728571429,14.4
4.714285714,14.5
5.214285714,14.600000000000001
4.742857143,14.700000000000001
4.9,14.8
4.528571429,14.9
4.528571429,15.0
4.771428571,15.100000000000001
4.528571429,15.200000000000001
4.842857143,15.3
4.985714286,15.4
5.1,15.5
5.085714286,15.600000000000001
5.242857143,15.700000000000001
4.885714286,15.8
4.785714286,15.9
4.671428571,16.0
4.828571429,16.1
5.114285714,16.2
4.971428571,16.3
4.8,16.400000000000002
5.371428571,16.5
5.071428571,16.6
4.757142857,16.7
5.057142857,16.8
4.985714286,16.900000000000002
5.257142857,17.0
5.457142857,17.1
5.328571429,17.2
5.057142857,17.3
4.942857143,17.400000000000002
4.7,17.5
4.714285714,17.6
4.8,17.7
4.857142857,17.8
5.1,17.900000000000002
4.628571429,18.0
4.957142857,18.1
5.071428571,18.2
5.214285714,18.3
5.085714286,18.400000000000002
5.057142857,18.5
5.557142857,18.6
5.614285714,18.7
5.4,18.8
5.5,18.900000000000002
6.028571429,19.0
5.8,19.1
5.742857143,19.200000000000003
5.814285714,19.3
5.185714286,19.400000000000002
5.785714286,19.5
5.628571429,19.6
5.642857143,19.700000000000003
5.514285714,19.8
5.642857143,19.900000000000002
5.385714286,20.0
5.942857143,20.1
5.542857143,20.200000000000003
5.628571429,20.3
5.428571429,20.400000000000002
5.3,20.5
5.7,20.6
5.142857143,20.700000000000003
5.228571429,20.8
5.371428571,20.900000000000002
5.742857143,21.0
6.042857143,21.1
5.428571429,21.200000000000003
5.828571429,21.3
5.971428571,21.400000000000002
5.185714286,21.5
5.528571429,21.6
5.357142857,21.700000000000003
5.671428571,21.8
5.442857143,21.900000000000002
5.457142857,22.0
5.728571429,22.1
5.242857143,22.200000000000003
4.914285714,22.3
5.1,22.400000000000002
5.214285714,22.5
5.528571429,22.6
5.128571429,22.700000000000003
5.271428571,22.8
5.7,22.900000000000002
5.728571429,23.0
5.8,23.1
6.014285714,23.200000000000003
5.742857143,23.3
5.471428571,23.400000000000002
5.442857143,23.5
6.228571429,23.6
5.6,23.700000000000003
6.285714286,23.8
5.842857143,23.900000000000002
5.9,24.0
5.571428571,24.1
6.028571429,24.200000000000003
5.6,24.3
5.442857143,24.400000000000002
5.314285714,24.5
5.742857143,24.6
5.714285714,24.700000000000003
5.442857143,24.8
5.871428571,24.900000000000002
5.657142857,25.0
5.742857143,25.1
5.885714286,25.200000000000003
5.914285714,25.3
5.871428571,25.400000000000002
5.814285714,25.5
5.757142857,25.6
5.742857143,25.700000000000003
5.8,25.8
5.414285714,25.900000000000002
5.557142857,26.0
5.9,26.1
5.242857143,26.200000000000003
5.7,26.3
5.8,26.400000000000002
6.1,26.5
6.528571429,26.6
6.371428571,26.700000000000003
5.985714286,26.8
5.728571429,26.900000000000002
5.957142857,27.0
5.5,27.1
5.828571429,27.200000000000003
5.828571429,27.3
6.1,27.400000000000002
5.771428571,27.5
6.342857143,27.6
5.985714286,27.700000000000003
5.928571429,27.8
6.042857143,27.900000000000002
5.742857143,28.0
6.2,28.1
5.785714286,28.200000000000003
6.485714286,28.3
5.685714286,28.400000000000002
6.042857143,28.5
6.071428571,28.6
6.128571429,28.700000000000003
5.957142857,28.8
6.085714286,28.900000000000002
5.771428571,29.0
5.614285714,29.1
5.557142857,29.200000000000003
5.957142857,29.3
5.728571429,29.400000000000002
6.2,29.5
5.857142857,29.6
5.828571429,29.700000000000003
5.757142857,29.8
5.857142857,29.900000000000002
5.985714286,30.0
6.028571429,30.1
5.985714286,30.200000000000003
5.685714286,30.3
5.485714286,30.400000000000002
5.557142857,30.5
5.242857143,30.6
5.771428571,30.700000000000003
5.557142857,30.8
6.0,30.900000000000002
5.642857143,31.0
5.457142857,31.1
5.814285714,31.200000000000003
5.514285714,31.3
5.528571429,31.400000000000002
5.7,31.5
5.5,31.6
5.585714286,31.700000000000003
5.528571429,31.8
5.214285714,31.900000000000002
5.7,32.0
5.828571429,32.1
5.485714286,32.2
5.671428571,32.300000000000004
5.985714286,32.4
5.257142857,32.5
5.728571429,32.6
5.871428571,32.7
5.485714286,32.800000000000004
5.428571429,32.9
6.0,33.0
6.242857143,33.1
5.714285714,33.2
6.057142857,33.300000000000004
5.471428571,33.4
5.814285714,33.5
5.6,33.6
5.5,33.7
6.157142857,33.800000000000004
5.885714286,33.9
6.171428571,34.0
6.028571429,34.1
6.342857143,34.2
6.014285714,34.300000000000004
6.114285714,34.4
5.828571429,34.5
6.328571429,34.6
6.042857143,34.7
5.771428571,34.800000000000004
5.814285714,34.9
5.8,35.0
5.928571429,35.1
5.942857143,35.2
6.085714286,35.300000000000004
5.871428571,35.4
6.385714286,35.5
6.371428571,35.6
6.328571429,35.7
5.842857143,35.800000000000004
5.785714286,35.9
5.857142857,36.0
5.557142857,36.1
5.842857143,36.2
5.442857143,36.300000000000004
5.257142857,36.4
5.157142857,36.5
5.657142857,36.6
5.585714286,36.7
5.442857143,36.800000000000004
5.757142857,36.9
5.771428571,37.0
6.0,37.1
6.185714286,37.2
5.9,37.300000000000004
5.957142857,37.4
6.057142857,37.5
5.871428571,37.6
5.614285714,37.7
5.785714286,37.800000000000004
5.185714286,37.9
5.828571429,38.0
5.771428571,38.1
5.657142857,38.2
6.085714286,38.300000000000004
5.928571429,38.400000000000006
6.271428571,38.5
6.028571429,38.6
6.214285714,38.7
5.657142857,38.800000000000004
5.885714286,38.900000000000006
5.942857143,39.0
5.914285714,39.1
5.871428571,39.2
6.128571429,39.300000000000004
5.785714286,39.400000000000006
6.0,39.5
5.8,39.6
6.085714286,39.7
5.514285714,39.800000000000004
5.671428571,39.900000000000006
5.842857143,40.0
5.928571429,40.1
6.028571429,40.2
5.314285714,40.300000000000004
5.671428571,40.400000000000006
5.728571429,40.5
5.9,40.6
5.4,40.7
5.585714286,40.800000000000004
5.514285714,40.900000000000006
5.728571429,41.0
5.871428571,41.1
5.471428571,41.2
5.785714286,41.300000000000004
5.971428571,41.400000000000006
6.157142857,41.5
6.314285714,41.6
6.271428571,41.7
6.314285714,41.800000000000004
6.385714286,41.900000000000006
6.428571429,42.0
6.1,42.1
6.228571429,42.2
5.742857143,42.300000000000004
5.971428571,42.400000000000006
5.328571429,42.5
5.957142857,42.6
5.771428571,42.7
6.142857143,42.800000000000004
6.185714286,42.900000000000006
5.771428571,43.0
5.628571429,43.1
5.757142857,43.2
6.371428571,43.300000000000004
6.0,43.400000000000006
6.014285714,43.5
5.8,43.6
5.957142857,43.7
5.585714286,43.800000000000004
5.5,43.900000000000006
5.442857143,44.0
6.085714286,44.1
5.942857143,44.2
6.157142857,44.300000000000004
5.771428571,44.400000000000006
6.442857143,44.5
5.985714286,44.6
5.3,44.7
5.7,44.800000000000004
