filtered_rssi,est_dist
-70.06892554057734,2.54
-70.0580020082398,2.54
-70.04719581607993,2.54
-70.06713098796925,3.09
-70.08685263852435,3.09
-70.09616512421789,2.9
-70.07479837589024,2.37
-70.08422468589812,2.9
-70.08336697439995,2.71
-70.08251838734499,2.71
-70.08167881606323,2.71
-70.11135774903788,3.31
-70.1203912126893,2.9
-70.14965137301768,3.31
-70.13797443733354,2.54
-70.14672641013279,2.9
-70.13508857443581,2.54
-70.1337181312002,2.71
-70.1323621111113,2.71
-70.14115741856558,2.9
-70.12959368704503,2.54
-70.13841062063496,2.9
-70.12688297337878,2.54
-70.13572116565437,2.9
-70.12422865431783,2.54
-70.12297198745979,2.71
-70.15206579080063,3.31
-70.14041931500604,2.54
-70.13900023234963,2.71
-70.11739007298056,2.37
-70.10610457077183,2.54
-70.11513013449023,2.9
-70.11396801518883,2.71
-70.09263576393575,2.37
-70.07152466012832,2.37
-70.05063223660815,2.37
-70.06020455108144,2.9
-70.05959767801342,2.71
-70.08922985921173,3.31
-70.05810570056558,2.22
-70.04744786167309,2.54
-70.04697005570851,2.71
-70.02636170107144,2.37
-70.0160309661832,2.54
-70.05612203946482,3.53
-70.06561825330412,2.9
-70.07501686744143,2.9
-70.06420597688303,2.54
-70.08366916150815,3.09
-70.0727758017102,2.54
-70.04189360689907,2.22
-70.04147264874382,2.71
-70.05110231596777,2.9
-70.06063342466832,2.9
-70.06002451195842,2.71
-70.05942182459066,2.71
-70.05882529564956,2.71
-70.05823485903481,2.71
-70.05765044944869,2.71
-70.04703830671235,2.54
-70.0164703145434,2.22
-70.01630511060688,2.71
-70.01614158975437,2.71
-70.00595248836495,2.54
-69.99586709758032,2.54
-70.00593273723229,2.9
-70.02591875147046,3.09
-70.025659012008,2.71
-69.99534226836751,2.22
-70.00540742697935,2.9
-70.0153703968435,2.9
-70.01521644993787,2.71
-70.01506406478805,2.71
-70.034939669044,3.09
-70.05461379172331,3.09
-70.04405632674538,2.54
-70.08365348994707,3.53
-70.11284132638615,3.31
-70.1417337019698,3.31
-70.16032763928558,3.09
-70.14871861188516,2.54
-70.11721924740924,2.22
-70.12604952737709,2.9
-70.1347905658908,2.9
-70.1434432919039,2.9
-70.1420088983527,2.71
-70.12059150613447,2.37
-70.08939253108127,2.22
-70.10849254973,3.09
-70.10740806868694,2.71
-70.10633452559206,2.71
-70.08528359837655,2.37
-70.0944245713238,2.9
-70.09348104547168,2.71
-70.09254702605585,2.71
-70.07164098241024,2.37
-70.05094547352554,2.37
-70.03045832983874,2.37
-70.05013079728792,3.09
-70.05961770109927,2.9
-70.0690091547081,2.9
-70.05833390315061,2.54
-70.0877076276563,3.31
-70.08683189293316,2.71
-70.0959489801011,2.9
-70.08500774208397,2.54
-70.0941418236276,2.9
-70.1031841374869,2.9
-70.09217280599243,2.54
-70.10123363681923,2.9
-70.10022330690275,2.71
-70.09922311999406,2.71
-70.10821197231766,2.9
-70.10713218702391,2.71
-70.11604110246793,2.9
-70.12486063972158,2.9
-70.13359170984837,2.9
-70.15221146264048,3.09
