x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:61,40001,30557,-79,-59,4.93,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-78,-59,4.61,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-79,-59,4.93,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-78,-59,4.61,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-82,-59,6.01,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-78,-59,4.61,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-78,-59,4.61,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-79,-59,4.93,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-79,-59,4.93,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-76,-59,4.04,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-81,-59,5.63,2021.11.16 14:20,7
c2:02:0b:00:05:61,40001,30557,-78,-59,4.61,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-75,-59,3.78,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-80,-59,5.26,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-80,-59,5.26,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-81,-59,5.63,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-79,-59,4.93,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-75,-59,3.78,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-80,-59,5.26,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-78,-59,4.61,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-76,-59,4.04,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-75,-59,3.78,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-75,-59,3.78,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-73,-59,3.31,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-81,-59,5.63,2021.11.16 14:21,7
c2:02:0b:00:05:61,40001,30557,-77,-59,4.31,2021.11.16 14:21,7
