x,,,,,rssi,realdist,time
c2:02:0b:00:05:44,,,,,-76,7,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-87,7,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-81,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-84,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-89,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-73,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-95,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-89,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-88,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-86,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-84,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-83,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-94,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-97,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-81,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-86,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-88,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-87,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-86,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-74,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-88,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-80,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-80,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-86,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-92,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-77,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-87,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-88,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-90,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-92,2,
c2:02:0b:00:05:44,,,,,-90,3,
c2:02:0b:00:05:44,,,,,-79,4,
c2:02:0b:00:05:44,,,,,-84,5,
c2:02:0b:00:05:44,,,,,-90,6,
c2:02:0b:00:05:44,,,,,-85,6,
c2:02:0b:00:05:44,,,,,-74,6,
c2:02:0b:00:05:44,,,,,-94,7,
c2:02:0b:00:05:44,,,,,-78,6,
c2:02:0b:00:05:44,,,,,-89,7,
c2:02:0b:00:05:44,,,,,-75,6,
c2:02:0b:00:05:44,,,,,-93,5,
c2:02:0b:00:05:44,,,,,-83,5,
c2:02:0b:00:05:44,,,,,-77,5,
c2:02:0b:00:05:44,,,,,-90,6,
c2:02:0b:00:05:44,,,,,-78,6,
c2:02:0b:00:05:44,,,,,-85,6,
c2:02:0b:00:05:44,,,,,-80,6,
c2:02:0b:00:05:44,,,,,-90,6,
c2:02:0b:00:05:44,,,,,-89,6,
c2:02:0b:00:05:44,,,,,-91,6,
c2:02:0b:00:05:44,,,,,-93,5,
c2:02:0b:00:05:44,,,,,-80,6,
c2:02:0b:00:05:44,,,,,-82,6,
c2:02:0b:00:05:44,,,,,-80,7,
c2:02:0b:00:05:44,,,,,-92,7,
c2:02:0b:00:05:44,,,,,-79,6,
c2:02:0b:00:05:44,,,,,-81,7,
c2:02:0b:00:05:44,,,,,-76,7,
c2:02:0b:00:05:44,,,,,-84,7,
c2:02:0b:00:05:44,,,,,-80,6,
c2:02:0b:00:05:44,,,,,-90,7,
c2:02:0b:00:05:44,,,,,-86,6,
c2:02:0b:00:05:44,,,,,-87,5,
c2:02:0b:00:05:44,,,,,-89,4,
c2:02:0b:00:05:44,,,,,-73,4,
c2:02:0b:00:05:44,,,,,-80,4,
c2:02:0b:00:05:44,,,,,-93,4,
c2:02:0b:00:05:44,,,,,-83,4,
c2:02:0b:00:05:44,,,,,-80,3,
c2:02:0b:00:05:44,,,,,-85,3,
c2:02:0b:00:05:44,,,,,-80,2,
c2:02:0b:00:05:44,,,,,-89,3,
c2:02:0b:00:05:44,,,,,-93,3,
c2:02:0b:00:05:44,,,,,-84,2,
c2:02:0b:00:05:44,,,,,-77,2,
c2:02:0b:00:05:44,,,,,-76,1,
c2:02:0b:00:05:44,,,,,-96,1,
c2:02:0b:00:05:44,,,,,-79,2,
c2:02:0b:00:05:44,,,,,-93,1,
c2:02:0b:00:05:44,,,,,-76,2,
c2:02:0b:00:05:44,,,,,-89,2,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-73,3,
c2:02:0b:00:05:44,,,,,-79,2,
c2:02:0b:00:05:44,,,,,-89,1,
c2:02:0b:00:05:44,,,,,-88,1,
c2:02:0b:00:05:44,,,,,-73,1,
c2:02:0b:00:05:44,,,,,-95,1,
c2:02:0b:00:05:44,,,,,-93,1,
c2:02:0b:00:05:44,,,,,-84,1,
c2:02:0b:00:05:44,,,,,-83,1,
c2:02:0b:00:05:44,,,,,-89,2,
c2:02:0b:00:05:44,,,,,-90,3,
c2:02:0b:00:05:44,,,,,-93,3,
c2:02:0b:00:05:44,,,,,-72,3,
c2:02:0b:00:05:44,,,,,-90,3,
c2:02:0b:00:05:44,,,,,-93,3,
c2:02:0b:00:05:44,,,,,-86,2,
c2:02:0b:00:05:44,,,,,-85,1,
c2:02:0b:00:05:44,,,,,-82,2,
c2:02:0b:00:05:44,,,,,-85,3,
c2:02:0b:00:05:44,,,,,-83,3,
c2:02:0b:00:05:44,,,,,-87,4,
c2:02:0b:00:05:44,,,,,-92,5,
c2:02:0b:00:05:44,,,,,-93,6,
c2:02:0b:00:05:44,,,,,-81,6,
c2:02:0b:00:05:44,,,,,-75,6,
c2:02:0b:00:05:44,,,,,-77,5,
c2:02:0b:00:05:44,,,,,-91,4,
c2:02:0b:00:05:44,,,,,-89,5,
c2:02:0b:00:05:44,,,,,-88,6,
c2:02:0b:00:05:44,,,,,-73,6,
c2:02:0b:00:05:44,,,,,-87,7,
c2:02:0b:00:05:44,,,,,-95,7,
c2:02:0b:00:05:44,,,,,-90,6,
c2:02:0b:00:05:44,,,,,-77,7,
c2:02:0b:00:05:44,,,,,-79,7,
c2:02:0b:00:05:44,,,,,-92,7,
c2:02:0b:00:05:44,,,,,-79,6,
c2:02:0b:00:05:44,,,,,-84,5,
c2:02:0b:00:05:44,,,,,-91,6,
c2:02:0b:00:05:44,,,,,-93,5,
c2:02:0b:00:05:44,,,,,-95,5,
c2:02:0b:00:05:44,,,,,-83,5,
c2:02:0b:00:05:44,,,,,-88,4,
c2:02:0b:00:05:44,,,,,-79,3,
c2:02:0b:00:05:44,,,,,-92,4,
c2:02:0b:00:05:44,,,,,-91,3,
c2:02:0b:00:05:44,,,,,-83,3,
c2:02:0b:00:05:44,,,,,-88,2,
c2:02:0b:00:05:44,,,,,-72,1,
c2:02:0b:00:05:44,,,,,-80,2,
c2:02:0b:00:05:44,,,,,-94,2,
c2:02:0b:00:05:44,,,,,-79,1,
c2:02:0b:00:05:44,,,,,-72,2,
